种子文件名,磁力链接,类型,季,分辨率,发行组,大小GB,中文名称,英文名称,原始名,国家/地区,年份,TMDB ID,备注
21世纪大君夫人[全12集][简繁英字幕].Perfect.Crown.S01.1080p.DSNP.WEB-DL.AAC.2.0.H.264-BlackTV 27.52GB.torrent,magnet:?xt=urn:btih:807A1B1474095C63B721DDA6C5295AF4AF92E089,电视剧,1,1080p,BlackTV,27.52,21世纪大君夫人,Perfect Crown,21세기 대군부인,韩国,2026,278573,
56天[全8集][简繁英字幕].56.Days.S01.1080p.AMZN.WEB-DL.DDP.5.1.H.264-BlackTV 16.12GB.torrent,magnet:?xt=urn:btih:C961906AA3D992E767A62F66066BE3B32DA505DD,电视剧,1,1080p,BlackTV,16.12,56天,56 Days,56 Days,美国,2026,241372,
DNA恋人[全16集][中文字幕].DNA.Lover.S01.1080p.WEB-DL.AAC2.0.H.264-BlackTV 58.69GB.torrent,magnet:?xt=urn:btih:5B17D28AA72AC1A01BDE750B42808FDBA2D2D98A,电视剧,1,1080p,BlackTV,58.69,DNA恋人,DNA Lover,DNA러버,韩国,2024,240622,
Doctor异乡人[全20集][中文字幕].Doctor.Stranger.S01.1080p.HamiVideo.WEB-DL.AAC2.0.H.264-BlackTV 66.04GB.torrent,magnet:?xt=urn:btih:70A198F79B7DCB7C564590A40A875D42A8CB324D,电视剧,1,1080p,BlackTV,66.04,Doctor异乡人,Doctor Stranger,닥터 이방인,韩国,2014,60956,
It’s.Not.Like.That[全8集][无字片源].Its.Not.Like.That.S01.1080p.AMZN.WEB-DL.DDP.5.1.H.264-BlackTV 21.60GB.torrent,magnet:?xt=urn:btih:D869406E1CF4DD49E8EAE93E45854AA0F5CC3982,电视剧,1,1080p,BlackTV,21.6,并非如此,It's Not Like That,It's Not Like That,美国,2026,308402,
It’s.Not.Like.That[全8集][无字片源].Its.Not.Like.That.S01.2160p.AMZN.WEB-DL.DDP.5.1.H.265-BlackTV 41.10GB.torrent,magnet:?xt=urn:btih:BF420AB90C7F3BF4C851EA06A665A751F2F1A666,电视剧,1,2160p,BlackTV,41.1,并非如此,It's Not Like That,It's Not Like That,美国,2026,308402,
It’s.Not.Like.That[全8集][无字片源].Its.Not.Like.That.S01.2160p.AMZN.WEB-DL.DDP.5.1.HDR10.H.265-BlackTV 53.80GB.torrent,magnet:?xt=urn:btih:69A7EA18EADAB469ECE27F0E66CCADA7E7B9F4AF,电视剧,1,2160p,BlackTV,53.8,并非如此,It's Not Like That,It's Not Like That,美国,2026,308402,
X！又是星期一[全22集][国语配音中文字幕].Monday.Again.S01.1080p.MyVideo.WEB-DL.AAC2.0.H.264-BlackTV 13.74GB.torrent,magnet:?xt=urn:btih:DE69E858EBBF382E71DB539963CA8FC0BD4685CE,电视剧,1,1080p,BlackTV,13.74,又是星期一,Monday Again?!,Ｘ！又是星期一,台湾,2024,221820,
一杆入魂.第一季[杜比视界版本][全10集][简繁英字幕].2160p.Apple.TV.WEB-DL.DDP.5.1.Atmos.DV.H.265-BlackTV 57.07GB.torrent,magnet:?xt=urn:btih:CC4DDE60D5F7CBC746A368A6C537D87A5B295702,电视剧,1,2160p,BlackTV,57.07,一杆入魂,Stick,Stick,美国,2025,248830,
一生一世[全30集][国语配音中文字幕].Forever.and.Ever.S01.1080p.HamiVideo.WEB-DL.AAC2.0.H.264-BlackTV 78.56GB.torrent,magnet:?xt=urn:btih:F840990BCD6BC0E530EDD7F9293E8BC247CF9B42,电视剧,1,1080p,BlackTV,78.56,一生一世,Forever and Ever,Alto Astral,巴西,2014,86198,
一碗江湖[全8集][国语配音中文字幕].1080p.CATCHPLAY.WEB-DL.AAC2.0.H.264-BlackTV 5.07GB.torrent,magnet:?xt=urn:btih:60C24B34A6BE2CB8E8644C6D79DA7F150431BB6A,综艺,,1080p,BlackTV,5.07,一碗江湖,一碗江湖,一碗江湖,中国,2024,290558,
一箱情缘[全8集][简繁英字幕].The.Trunk.S01.2160p.NF.WEB-DL.DDP.5.1.Atmos.HDR10.H.265-BlackTV 49.55GB.torrent,magnet:?xt=urn:btih:50C292D6968DB7287702FEFB5604EF7EEAF28A5B,电视剧,1,2160p,BlackTV,49.55,一箱情缘,The Trunk,트렁크,韩国,2024,230777,
