种子文件名,磁力链接,类型,季,分辨率,发行组,大小GB,中文名称,英文名称,原始名,国家/地区,年份,TMDB ID,备注
21世纪大君夫人[第09集][简繁英字幕].Perfect.Crown.S01.1080p.DSNP.WEB-DL.AAC.2.0.H.264-BlackTV 1.97GB.torrent,magnet:?xt=urn:btih:32159316347E5C566D74D05256B77243164FDD6F,电视剧,1,1080p,BlackTV,1.97,21世纪大君夫人,Perfect Crown,21세기 대군부인,韩国,2026,278573,
21世纪大君夫人[第10集][简繁英字幕].Perfect.Crown.S01.1080p.DSNP.WEB-DL.AAC.2.0.H.264-BlackTV 2.23GB.torrent,magnet:?xt=urn:btih:2BA5D9402E3FEC94AB50D1571532FE02BD19BAC6,电视剧,1,1080p,BlackTV,2.23,21世纪大君夫人,Perfect Crown,21세기 대군부인,韩国,2026,278573,
21世纪大君夫人[第11集][简繁英字幕].Perfect.Crown.S01.1080p.DSNP.WEB-DL.AAC.2.0.H.264-BlackTV 2.08GB.torrent,magnet:?xt=urn:btih:8648AD2709367FCE27E01913959362F2CF5D8F6E,电视剧,1,1080p,BlackTV,2.08,21世纪大君夫人,Perfect Crown,21세기 대군부인,韩国,2026,278573,
24小时健身房[第07集][中文字幕].24.Hour.Health.Club.S01.1080p.WEB-DL.AAC2.0.H.264-BlackTV 4.29GB.torrent,magnet:?xt=urn:btih:2383CCF02DE741A8E6BF673B840B380462ECEED6,电视剧,1,1080p,BlackTV,4.29,24小时健身房,Pump Up the Healthy Love,24시 헬스클럽,韩国,2025,260555,
BORDERLESS～广域移动搜查队～[第04-05集][中文字幕].1080p.WEB-DL.AAC2.0.H.264-BlackTV 6.08GB.torrent,magnet:?xt=urn:btih:54B54CA9628ECBB10EA39337A764FF0BFE070594,电视剧,,1080p,BlackTV,6.08,BORDERLESS～广域移动搜查队～,ボーダレス～広域移動捜査隊～,ボーダレス～広域移動捜査隊～,日本,2026,316254,
Re：从零开始的异世界生活.第四季.夺还篇[第71集][中文字幕].1080p.WEB-DL.AAC2.0.H.264-BlackTV 1.49GB.torrent,magnet:?xt=urn:btih:16102941C116A8C126B3C89EBA2D6D607D1CC278,动漫,4,1080p,BlackTV,1.49,Re：从零开始的异世界生活,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,日本,2016,65942,
Re：从零开始的异世界生活.第四季.夺还篇[第72集][中文字幕].1080p.WEB-DL.AAC2.0.H.264-BlackTV 1.52GB.torrent,magnet:?xt=urn:btih:AD770106B78C6B6009B47E8F8041CFB2CABB34C5,动漫,4,1080p,BlackTV,1.52,Re：从零开始的异世界生活,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,日本,2016,65942,
一人之下.第六季[第20集][无字片源].The.Outcast.S06.2026.1080p.WEB-DL.H264.AAC-ColorWEB 0.14GB.torrent,magnet:?xt=urn:btih:D7C512838E8DABCCA75A44DED478D4EB4644364F,动漫,6,1080p,ColorWEB,0.14,一人之下,Hitori No Shita - The Outcast,一人之下,中国/日本,2016,67063,
一人之下.第六季[第20集][无字片源].The.Outcast.S06.2026.2160p.WEB-DL.H265.AAC-ColorWEB 0.29GB.torrent,magnet:?xt=urn:btih:02FB18F694BAB9F490B0FA6D3B00F67072BC294C,动漫,6,2160p,ColorWEB,0.29,一人之下,Hitori No Shita - The Outcast,一人之下,中国/日本,2016,67063,
一人之下.第六季[第21集][无字片源].The.Outcast.S06.2026.1080p.WEB-DL.H264.AAC-ColorWEB 0.11GB.torrent,magnet:?xt=urn:btih:7A6E19306802B1E6716B06ED031BFA3D9E4F3313,动漫,6,1080p,ColorWEB,0.11,一人之下,Hitori No Shita - The Outcast,一人之下,中国/日本,2016,67063,
一人之下.第六季[第21集][无字片源].The.Outcast.S06.2026.2160p.WEB-DL.H265.AAC-ColorWEB 0.24GB.torrent,magnet:?xt=urn:btih:1BE699865F01A44C8E52DED2549DF7560AB00B3A,动漫,6,2160p,ColorWEB,0.24,一人之下,Hitori No Shita - The Outcast,一人之下,中国/日本,2016,67063,
一点和平[第08集][无字片源].piece.of.safe.TV.S01.1080p.HuluJP.WEB-DL.AAC.2.0.H.264-BlackTV 0.97GB.torrent,magnet:?xt=urn:btih:CBF2007F8CDE28B3BD2D0551508AACC25344607F,电视剧,1,1080p,BlackTV,0.97,一点和平,Piece of Safe,ぴーすおぶせーふ,日本,2026,310633,
上伊那牡丹，酒醉身姿似百合花般[第04集][简繁英字幕].1080p.CR.WEB-DL.AAC2.0.H.264-BlackTV 1.36GB.torrent,magnet:?xt=urn:btih:A353E2D2412AE638E282E6066F97A5C9AE885F1D,动漫,,1080p,BlackTV,1.36,上伊那牡丹，酒醉身姿似百合花般,Botan Kamiina Fully Blossoms When Drunk,上伊那ぼたん、酔へる姿は百合の花,日本,2026,283905,
上伊那牡丹，酒醉身姿似百合花般[第05集][中文字幕].1080p.WEB-DL.AAC2.0.H.264-BlackTV 1.62GB.torrent,magnet:?xt=urn:btih:E4FE3DBC6E29411502BE88A66237A04FE38CC05B,动漫,,1080p,BlackTV,1.62,上伊那牡丹，酒醉身姿似百合花般,Botan Kamiina Fully Blossoms When Drunk,上伊那ぼたん、酔へる姿は百合の花,日本,2026,283905,
上伊那牡丹，酒醉身姿似百合花般[第05集][简繁英字幕].1080p.CR.WEB-DL.AAC2.0.H.264-BlackTV 1.35GB.torrent,magnet:?xt=urn:btih:99373F86C7079C32CE4BC1AB961C38567AEDA5F3,动漫,,1080p,BlackTV,1.35,上伊那牡丹，酒醉身姿似百合花般,Botan Kamiina Fully Blossoms When Drunk,上伊那ぼたん、酔へる姿は百合の花,日本,2026,283905,
上伊那牡丹，酒醉身姿似百合花般[第06集][中文字幕].1080p.WEB-DL.AAC2.0.H.264-BlackTV 1.61GB.torrent,magnet:?xt=urn:btih:6C70085E341CA4082DF42F1DCE16346BB34568C1,动漫,,1080p,BlackTV,1.61,上伊那牡丹，酒醉身姿似百合花般,Botan Kamiina Fully Blossoms When Drunk,上伊那ぼたん、酔へる姿は百合の花,日本,2026,283905,
上伊那牡丹，酒醉身姿似百合花般[第06集][简繁英字幕].1080p.CR.WEB-DL.AAC2.0.H.264-BlackTV 1.35GB.torrent,magnet:?xt=urn:btih:DA30E39D925C47EF5C5BFDD0C9692830730CF3B1,动漫,,1080p,BlackTV,1.35,上伊那牡丹，酒醉身姿似百合花般,Botan Kamiina Fully Blossoms When Drunk,上伊那ぼたん、酔へる姿は百合の花,日本,2026,283905,
