种子文件名,磁力链接,类型,季,分辨率,发行组,大小GB,中文名称,英文名称,原始名,国家/地区,年份,TMDB ID,备注
小逗的日子.第一季[HDR杜比视界双版本][短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.HDR.DV.3Audio-ZeroTV 4.23GB.torrent,magnet:?xt=urn:btih:9CBA0DCC14EB1939D5D9011A8EC684D43A36A44A,电视剧,1,2160p,ZeroTV,4.23,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[杜比视界版本][短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.DV.3Audio-ZeroTV 5.05GB.torrent,magnet:?xt=urn:btih:5E07BFB1C0053C787B00C5B6EF385736A03A3419,电视剧,1,2160p,ZeroTV,5.06,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[短剧][全05集][粤英多音轨简繁英字幕].2021.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H264.3Audio-ZeroTV 2.40GB.torrent,magnet:?xt=urn:btih:08884F76199834F2D96445A76AA8012E16C247D1,电视剧,1,1080p,ZeroTV,2.4,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.HDR.3Audio-ZeroTV 4.22GB.torrent,magnet:?xt=urn:btih:32379A0A08BBF77255F9086A8DC1AB2E5F200AC5,电视剧,1,2160p,ZeroTV,4.22,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
我是如何抓到我的杀手的.第二季[全10集][国语配音中文字幕].2024.1080p.DSNP.WEB-DL.DDP5.1.H264-ZeroTV 18.75GB.torrent,magnet:?xt=urn:btih:3717895E1EEB56E84E7ED6DAA16E15E8FCFB8F51,电视剧,2,1080p,ZeroTV,18.75,我是如何抓到我的杀手的,,我是如何抓到我的杀手的.第二季,,2024,,TMDB未匹配; 中文候选=我是如何抓到我的杀手的 / 何抓到我的杀手的 / 抓到我的杀手的 / 到我的杀手的 / 我的杀手的 / 的杀手的 / 我是如何抓到我 / 我是如何抓到我的杀手
小逗的日子.第一季[HDR杜比视界双版本][短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.HDR.DV.3Audio-ZeroTV 4.23GB.torrent,magnet:?xt=urn:btih:9CBA0DCC14EB1939D5D9011A8EC684D43A36A44A,电视剧,1,2160p,ZeroTV,4.23,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[杜比视界版本][短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.DV.3Audio-ZeroTV 5.05GB.torrent,magnet:?xt=urn:btih:5E07BFB1C0053C787B00C5B6EF385736A03A3419,电视剧,1,2160p,ZeroTV,5.06,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[短剧][全05集][粤英多音轨简繁英字幕].2021.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H264.3Audio-ZeroTV 2.40GB.torrent,magnet:?xt=urn:btih:08884F76199834F2D96445A76AA8012E16C247D1,电视剧,1,1080p,ZeroTV,2.4,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
小逗的日子.第一季[短剧][全05集][粤英多音轨简繁英字幕].2021.2160p.DSNP.WEB-DL.DDP5.1.Atmos.H265.HDR.3Audio-ZeroTV 4.22GB.torrent,magnet:?xt=urn:btih:32379A0A08BBF77255F9086A8DC1AB2E5F200AC5,电视剧,1,2160p,ZeroTV,4.22,小逗的日子,,小逗的日子.第一季,,2021,,TMDB未匹配
摩登情爱.第二季[HDR杜比视界双版本][全08集][简繁英字幕].2021.2160p.AMZN.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 36.35GB.torrent,magnet:?xt=urn:btih:24053B48EE81213D971F64AC9AFEA75BBF030F52,电视剧,2,2160p,ZeroTV,36.35,摩登情爱,,摩登情爱.第二季,,2021,,TMDB未匹配
生活与贝丝.第二季[HDR杜比视界双版本][全10集][简繁英字幕].2024.2160p.DSNP.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 23.72GB.torrent,magnet:?xt=urn:btih:6BF466EC7FD1FC05733B1B3C80B66C2F3807828E,电视剧,2,2160p,ZeroTV,23.72,生活与贝丝,,生活与贝丝.第二季,,2024,,TMDB未匹配
摩登情爱.第二季[HDR杜比视界双版本][全08集][简繁英字幕].2021.2160p.AMZN.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 36.35GB.torrent,magnet:?xt=urn:btih:24053B48EE81213D971F64AC9AFEA75BBF030F52,电视剧,2,2160p,ZeroTV,36.35,摩登情爱,,摩登情爱.第二季,,2021,,TMDB未匹配
生活与贝丝.第二季[HDR杜比视界双版本][全10集][简繁英字幕].2024.2160p.DSNP.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 23.72GB.torrent,magnet:?xt=urn:btih:6BF466EC7FD1FC05733B1B3C80B66C2F3807828E,电视剧,2,2160p,ZeroTV,23.72,生活与贝丝,,生活与贝丝.第二季,,2024,,TMDB未匹配
归途.第二季[HDR杜比视界双版本][全07集][简繁英字幕].2020.2160p.AMZN.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 29.50GB.torrent,magnet:?xt=urn:btih:704FC4B5422095EBBF1CE49B12197EE6285BB6DB,电视剧,2,2160p,ZeroTV,29.5,归途,,归途.第二季,,2020,,TMDB未匹配
有爱.第二季[HDR杜比视界双版本][全06集][简繁英字幕].2023.2160p.AMZN.WEB-DL.DDP5.1.H265.HDR.DV-ZeroTV 41.84GB.torrent,magnet:?xt=urn:btih:3E226A5BD91BD5B6F1C3CF2089D15BF60724BCC3,电视剧,2,2160p,ZeroTV,41.84,有爱,,有爱.第二季,,2023,,TMDB未匹配
我是如何抓到我的杀手的.第二季[全10集][简繁英字幕].2023.1080p.NF.WEB-DL.DDP5.1.H264-ZerTV 19.22GB.torrent,magnet:?xt=urn:btih:14208B8934675C7D7D789598E0E36F147457A731,电视剧,2,1080p,ZerTV,19.22,我是如何抓到我的杀手的,,我是如何抓到我的杀手的.第二季,,2023,,TMDB未匹配; 中文候选=我是如何抓到我的杀手的 / 何抓到我的杀手的 / 抓到我的杀手的 / 到我的杀手的 / 我的杀手的 / 的杀手的 / 我是如何抓到我 / 我是如何抓到我的杀手
我是如何抓到我的杀手的.第二季[全6集][简繁英字幕].2023.1080p.NF.WEB-DL.DDP5.1.H264-ZerTV 10.54GB.torrent,magnet:?xt=urn:btih:10FE449A5487C69B5977F516CDA9AAEDC529DB75,电视剧,2,1080p,ZerTV,10.54,我是如何抓到我的杀手的,,我是如何抓到我的杀手的.第二季,,2023,,TMDB未匹配; 中文候选=我是如何抓到我的杀手的 / 何抓到我的杀手的 / 抓到我的杀手的 / 到我的杀手的 / 我的杀手的 / 的杀手的 / 我是如何抓到我 / 我是如何抓到我的杀手
全明星出发吧[第01-13集][国语配音中文字幕].All.Star.Travelers.S01.2024.1080p.NF.WEB-DL.AAC2.0.H264-ZerTV 43.80GB.torrent,magnet:?xt=urn:btih:10A364C7B5415D06299D7CAAD399D13860AA5A04,电视剧,1,1080p,ZerTV,43.8,全明星出发吧,All Star Travelers,全明星出发吧 .All.Star.Travelers,,2024,,TMDB未匹配; 中文候选=全明星出发吧 / 明星出发吧 / 星出发吧
全明星出发吧[全15集][国语配音中文字幕].All.Star.Travelers.S01.2024.1080p.Hami.WEB-DL.H264.AAC-ZerTV 77.02GB.torrent,magnet:?xt=urn:btih:96600CF6FECCF5CC14E0650B393B603C4A0E5BE4,电视剧,1,1080p,ZerTV,77.02,全明星出发吧,All Star Travelers,全明星出发吧 .All.Star.Travelers,,2024,,TMDB未匹配; 中文候选=全明星出发吧 / 明星出发吧 / 星出发吧
霹雳惊涛[全42集][中文字幕].Pili.The.Raging.Storm.S71.2018.1080p.WEB-DL.H264.AAC-ZeroTV 83.11GB.torrent,magnet:?xt=urn:btih:52E091F535DF2F028BB78ED66179F29CAF45AF11,电视剧,71,1080p,ZeroTV,83.11,霹雳惊涛,Pili The Raging Storm,霹雳惊涛 .Pili.The.Raging.Storm,,2018,,TMDB未匹配
霹雳惊涛[全42集][中文字幕].Pili.The.Raging.Storm.S71.2018.1080p.WEB-DL.H264.AAC-ZeroTV 83.11GB.torrent,magnet:?xt=urn:btih:52E091F535DF2F028BB78ED66179F29CAF45AF11,电视剧,71,1080p,ZeroTV,83.11,霹雳惊涛,Pili The Raging Storm,霹雳惊涛 .Pili.The.Raging.Storm,,2018,,TMDB未匹配
